NM,words
머리가복잡해,"['머리가복잡해','지쳐', '신나', '우울해']"
답답해,"['답답해','우울해', '신나', '기분전환']"
화가나,"['화가나','머리가복잡해', '에너지넘쳐', '지쳐']"
우울해,"['우울해','신나', '답답해', '머리가복잡해']"
기분전환,"['기분전환','센치해', '신나', '우울해']"
행복해,"['행복해','즐거워', '무료해', '센치해']"
신나,"['신나','우울해', '기분전환', '답답해']"
즐거워,"['즐거워','행복해', '평온해', '센치해']"
만족스러워,"['만족스러워','감성터질때', '기분전환', '센치해']"
평온해,"['평온해','무료해', '즐거워', '행복해']"
새로워,"['새로워','설레', '감성터질때', '만족스러워']"
설레,"['설레','새로워', '감성터질때', '만족스러워']"
무료해,"['무료해','평온해', '즐거워', '행복해']"
감성터질때,"['감성터질때','만족스러워', '설레', '센치해']"
외로워,"['외로워','설레', '평온해', '새로워']"
센치해,"['센치해','기분전환', '즐거워', '감성터질때']"
귀찮아,"['귀찮아','외로워', '새로워', '설레']"
지쳐,"['지쳐','머리가복잡해', '신나', '우울해']"
에너지넘쳐,"['에너지넘쳐','우울해', '답답해', '신나']"
절망스러워,"['절망스러워','화가나', '답답해', '에너지넘쳐']"
그리워,"['그리워','외로워', '귀찮아', '무료해']"